,country,year,no_schooling,total_primary,completed_primary,total_secondary,completed_secondary,total_tertiary,completed_tertiary,avg_years_total_schooling,avg_years_primary_schooling,avg_years_secondary_schooling,avg_years_tertiary_schooling,population_1000s,region,iso_alpha
0,Australia,1870,50.5,49.3,8.8,0.1,0.0,0.1,0.0,1.77,1.76,0.01,0.0,932.0,Advanced Economies,AUS
1,Australia,1875,46.0,53.8,9.6,0.1,0.0,0.1,0.0,1.93,1.92,0.01,0.0,1074.0,Advanced Economies,AUS
2,Australia,1880,41.5,58.0,9.7,0.3,0.1,0.2,0.1,2.08,2.06,0.02,0.0,1314.0,Advanced Economies,AUS
3,Australia,1885,36.1,61.7,11.3,2.0,0.4,0.2,0.1,2.41,2.32,0.08,0.01,1569.0,Advanced Economies,AUS
4,Australia,1890,29.7,66.6,13.3,3.5,0.7,0.3,0.1,2.76,2.62,0.13,0.01,1895.0,Advanced Economies,AUS
5,Australia,1895,24.8,71.2,15.4,3.7,0.8,0.3,0.1,3.0,2.84,0.15,0.01,2104.0,Advanced Economies,AUS
6,Australia,1900,24.9,69.6,16.4,5.0,1.2,0.4,0.2,3.11,2.91,0.2,0.01,2434.0,Advanced Economies,AUS
7,Australia,1905,22.2,70.3,18.2,6.9,1.8,0.6,0.2,3.39,3.1,0.27,0.02,2516.0,Advanced Economies,AUS
8,Australia,1910,17.7,71.0,20.3,9.6,2.7,1.7,0.5,3.89,3.42,0.43,0.04,2835.0,Advanced Economies,AUS
9,Australia,1915,14.3,71.0,22.0,12.1,3.6,2.7,1.0,4.31,3.67,0.57,0.07,3172.0,Advanced Economies,AUS
10,Australia,1920,11.3,70.6,23.7,14.4,4.5,3.7,1.5,4.72,3.92,0.71,0.1,3456.0,Advanced Economies,AUS
11,Australia,1925,9.3,62.5,22.4,23.4,7.7,4.9,2.0,5.48,4.24,1.1,0.14,3866.0,Advanced Economies,AUS
12,Australia,1930,7.1,58.6,23.0,28.5,9.9,5.9,2.5,6.03,4.51,1.35,0.17,4380.0,Advanced Economies,AUS
13,Australia,1935,5.1,54.5,23.5,33.5,12.3,7.0,3.1,6.57,4.77,1.6,0.2,4380.0,Advanced Economies,AUS
14,Australia,1940,3.7,50.8,23.9,37.3,14.5,8.1,3.8,7.03,4.97,1.82,0.24,4670.0,Advanced Economies,AUS
15,Australia,1945,2.3,46.9,23.7,41.5,17.1,9.2,4.5,7.48,5.16,2.05,0.27,5022.0,Advanced Economies,AUS
16,Australia,1950,1.2,42.5,27.1,45.1,23.8,11.2,6.4,8.21,5.47,2.39,0.35,5372.0,Advanced Economies,AUS
17,Australia,1955,1.0,37.9,22.6,48.9,27.4,12.2,6.9,8.49,5.48,2.63,0.38,5763.0,Advanced Economies,AUS
18,Australia,1960,0.8,33.4,18.7,52.5,31.4,13.2,7.4,8.78,5.51,2.87,0.41,6314.0,Advanced Economies,AUS
19,Australia,1965,0.7,28.1,15.4,56.3,36.2,14.9,8.0,9.19,5.58,3.16,0.46,7129.0,Advanced Economies,AUS
20,Australia,1970,0.6,19.4,10.4,59.6,41.4,20.3,12.2,10.11,5.69,3.77,0.65,7995.0,Advanced Economies,AUS
